month_key,Product ID,total_sales,total_quantity,avg_selling_price
201902,FUR-BO-10003966,290.666,2,290.666
201902,FUR-CH-10000225,129.568,2,129.568
201902,FUR-FU-10000221,20.32,4,20.32
201902,FUR-FU-10002111,14.56,2,14.56
201902,FUR-FU-10002298,332.94,3,332.94
201902,FUR-FU-10002396,25.16,5,25.16
201902,FUR-TA-10003715,1256.22,6,1256.22
201902,OFF-AP-10001293,81.96,2,81.96
201902,OFF-AP-10001303,7.96,2,7.96
201902,OFF-AR-10003560,19.456,4,19.456
201902,OFF-AR-10003631,54.208,14,54.208
201902,OFF-BI-10000320,4.428,3,4.428
201902,OFF-BI-10000666,18.336,2,18.336
201902,OFF-BI-10001031,21.36,5,21.36
201902,OFF-BI-10001196,8.952,2,8.952
201902,OFF-BI-10002012,1.08,3,1.08
201902,OFF-BI-10002827,13.272,3,13.272
201902,OFF-BI-10003291,17.46,2,17.46
201902,OFF-BI-10003676,17.248,2,17.248
201902,OFF-BI-10004094,8.85,5,8.85
201902,OFF-BI-10004230,82.896,3,82.896
201902,OFF-BI-10004593,83.84,2,83.84
201902,OFF-BI-10004728,9.64,2,9.64
201902,OFF-BI-20004654,51.9,3,51.9
201902,OFF-FA-10001843,12.35,5,12.35
201902,OFF-LA-10002787,15.0,4,15.0
201902,OFF-LA-10004425,6.936,3,6.936
201902,OFF-LA-10004853,14.94,3,14.94
201902,OFF-PA-10000069,22.776,3,22.776
201902,OFF-PA-10000174,32.896,4,32.896
201902,OFF-PA-10000350,34.24,4,34.24
201902,OFF-PA-10000466,16.176,3,16.176
201902,OFF-PA-10001800,19.44,3,19.44
201902,OFF-PA-10003363,12.96,2,12.96
201902,OFF-ST-10000321,12.624,2,12.624
201902,OFF-ST-10001558,64.96,4,64.96
201902,OFF-ST-10002583,64.96,2,64.96
201902,OFF-SU-10000157,238.62,2,238.62
201902,TEC-AC-10000710,115.36,7,115.36
201902,TEC-AC-10000736,239.97,3,239.97
201902,TEC-AC-10001284,62.31,3,62.31
201902,TEC-AC-10001432,703.3499999999999,9,351.67499999999995
201902,TEC-PH-10001615,144.95,5,144.95
201902,TEC-PH-10002890,180.96,5,180.96
201902,TEC-PH-10003645,161.61,1,161.61
201908,FUR-BO-10000468,155.456,4,155.456
201908,FUR-BO-10000711,638.82,9,638.82
201908,FUR-CH-10001797,500.24,13,500.24
201908,FUR-CH-10002335,1133.35,5,1133.35
201908,FUR-CH-10003817,340.144,7,340.144
201908,FUR-CH-10003833,195.136,4,195.136
201908,FUR-CH-10004495,421.372,2,421.372
201908,FUR-FU-10000629,44.128,4,44.128
201908,FUR-FU-10000723,289.24,7,289.24
201908,FUR-FU-10000771,6.28,1,6.28
201908,FUR-FU-10001602,121.376,4,121.376
201908,FUR-FU-10001731,10.68,4,10.68
201908,FUR-FU-10001979,327.76,8,327.76
201908,FUR-FU-10002088,53.88,6,53.88
201908,FUR-FU-10002456,29.12,4,29.12
201908,FUR-FU-10002878,85.44,3,85.44
201908,FUR-FU-10003274,4.224,3,4.224
201908,FUR-FU-10003691,12.35,1,12.35
201908,FUR-FU-10004586,13.28,2,13.28
201908,FUR-TA-10001307,489.23,2,489.23
201908,FUR-TA-10001539,853.092,6,853.092
201908,FUR-TA-10001857,174.0585,3,174.0585
201908,FUR-TA-10003569,1202.94,3,1202.94
201908,FUR-TA-10004289,218.75,2,218.75
201908,OFF-AP-10001005,62.92,1,62.92
201908,OFF-AP-10001271,101.96,2,101.96
201908,OFF-AP-10002403,211.248,6,211.248
201908,OFF-AP-10002495,167.535,3,167.535
201908,OFF-AP-10002765,79.47,3,79.47
201908,OFF-AP-10003287,152.91,3,152.91
201908,OFF-AP-10003590,1089.75,3,1089.75
201908,OFF-AP-10003622,2.6,1,2.6
201908,OFF-AP-10004708,228.36,7,114.18
201908,OFF-AR-10000896,16.4,5,16.4
201908,OFF-AR-10002804,3.912,1,3.912
201908,OFF-AR-10003056,8.56,2,8.56
201908,OFF-AR-10003770,8.64,3,8.64
201908,OFF-AR-10003903,40.97,1,40.97
201908,OFF-AR-10004165,20.52,9,10.26
201908,OFF-AR-10004344,47.96,5,47.96
201908,OFF-AR-10004602,45.98,2,45.98
201908,OFF-AR-10004930,10.72,2,10.72
201908,OFF-BI-10000138,14.04,3,14.04
201908,OFF-BI-10000632,69.456,2,69.456
201908,OFF-BI-10000829,17.96,4,17.96
201908,OFF-BI-10001097,9.345,5,9.345
201908,OFF-BI-10001116,12.672,3,12.672
201908,OFF-BI-10001359,896.99,1,896.99
201908,OFF-BI-10001575,49.568,2,49.568
201908,OFF-BI-10001718,76.776,4,76.776
201908,OFF-BI-10001758,26.7,5,26.7
201908,OFF-BI-10001982,6.528,4,6.528
201908,OFF-BI-10001989,62.94,3,62.94
201908,OFF-BI-10002103,20.856,8,20.856
201908,OFF-BI-10002133,25.68,3,25.68
201908,OFF-BI-10002215,22.72,4,22.72
201908,OFF-BI-10002225,12.384,3,12.384
201908,OFF-BI-10002309,17.856,4,17.856
201908,OFF-BI-10002432,25.3,5,25.3
201908,OFF-BI-10002799,8.288,2,8.288
201908,OFF-BI-10002852,13.184,1,13.184
201908,OFF-BI-10002854,196.21,7,196.21
201908,OFF-BI-10003638,77.4,11,38.7
201908,OFF-BI-10004141,2.862,3,2.862
201908,OFF-BI-10004390,505.176,4,505.176
201908,OFF-BI-10004506,19.752,3,19.752
201908,OFF-BI-10004600,2060.744,7,2060.744
201908,OFF-EN-10001749,29.808,2,29.808
201908,OFF-EN-10002500,38.34,3,38.34
201908,OFF-EN-10002504,130.464,6,130.464
201908,OFF-EN-10002600,4.72,2,4.72
201908,OFF-FA-10000621,40.096,14,40.096
201908,OFF-FA-10000992,5.68,2,5.68
201908,OFF-FA-10002676,12.67,7,12.67
201908,OFF-FA-10004838,4.464,3,4.464
201908,OFF-FA-10004854,22.96,2,22.96
201908,OFF-LA-10000262,20.88,8,20.88
201908,OFF-LA-10000443,2.952,1,2.952
201908,OFF-PA-10000019,31.104,6,31.104
201908,OFF-PA-10000167,92.94,3,92.94
201908,OFF-PA-10000246,20.12,2,20.12
201908,OFF-PA-10000295,31.104,6,31.104
201908,OFF-PA-10000312,91.36,5,91.36
201908,OFF-PA-10000595,114.2,5,114.2
201908,OFF-PA-10000659,20.94,3,20.94
201908,OFF-PA-10000806,447.84,8,447.84
201908,OFF-PA-10001019,39.96,2,39.96
201908,OFF-PA-10001125,223.056,9,223.056
201908,OFF-PA-10001144,110.96,2,110.96
201908,OFF-PA-10001289,93.024,3,93.024
201908,OFF-PA-10001639,15.552,3,15.552
201908,OFF-PA-10001667,5.98,1,5.98
201908,OFF-PA-10001837,15.552,3,15.552
201908,OFF-PA-10001846,11.56,2,11.56
201908,OFF-PA-10001934,19.44,3,19.44
201908,OFF-PA-10001937,15.552,3,15.552
201908,OFF-PA-10002160,17.34,3,17.34
201908,OFF-PA-10002377,78.304,2,78.304
201908,OFF-PA-10002659,3.38,1,3.38
201908,OFF-PA-10002986,13.36,2,13.36
201908,OFF-PA-10003001,13.36,2,13.36
201908,OFF-PA-10003936,25.92,4,25.92
201908,OFF-PA-10004353,259.74,13,259.74
201908,OFF-PA-10004475,109.92,2,109.92
201908,OFF-PA-10004530,45.92,4,45.92
201908,OFF-PA-10004965,23.976,3,23.976
201908,OFF-PA-10004983,25.92,4,25.92
201908,OFF-ST-10000321,15.78,2,15.78
201908,OFF-ST-10000532,423.28,11,423.28
201908,OFF-ST-10000563,95.94,3,95.94
201908,OFF-ST-10000991,344.91,3,344.91
201908,OFF-ST-10002011,838.38,2,838.38
201908,OFF-ST-10002289,158.9,5,158.9
201908,OFF-ST-10003221,21.36,2,21.36
201908,OFF-ST-10004258,48.84,4,48.84
201908,OFF-ST-10004459,375.34,1,375.34
201908,OFF-SU-10000432,5.552,2,5.552
201908,OFF-SU-10002537,102.3,10,102.3
201908,OFF-SU-10003936,7.632,3,7.632
201908,OFF-SU-10004661,32.3,4,16.15
201908,OFF-SU-10004768,9.184,2,9.184
201908,TEC-AC-10000023,335.52,16,167.76
201908,TEC-AC-10000844,339.96,4,339.96
201908,TEC-AC-10001635,92.52,9,92.52
201908,TEC-AC-10001767,95.976,3,95.976
201908,TEC-AC-10002323,176.8,8,176.8
201908,TEC-AC-10002399,95.1,5,95.1
201908,TEC-AC-10002473,414.34799999999996,16,207.17399999999998
201908,TEC-AC-10002800,149.97,3,149.97
201908,TEC-AC-10003237,21.2,2,21.2
201908,TEC-AC-10004510,16.36,1,16.36
201908,TEC-AC-10004571,199.98,2,199.98
201908,TEC-CO-10001571,549.99,1,549.99
201908,TEC-CO-10004115,1199.976,3,1199.976
201908,TEC-PH-10000038,219.168,2,219.168
201908,TEC-PH-10000149,143.64,9,143.64
201908,TEC-PH-10000455,579.95,5,579.95
