Country,State,City,Postal Code,Region,source_filename,file_month
United States,Texas,Houston,77095,Central,201901_Orders_2019_02_01_03_10_55.csv,201901
United States,Illinois,Naperville,60540,Central,201901_Orders_2019_02_01_03_10_55.csv,201901
United States,Pennsylvania,Philadelphia,19143,East,201901_Orders_2019_02_01_03_10_55.csv,201901
United States,Kentucky,Henderson,42420,South,201901_Orders_2019_02_01_03_10_55.csv,201901
United States,Georgia,Athens,30605,South,201901_Orders_2019_02_01_03_10_55.csv,201901
United States,California,Los Angeles,90049,West,201901_Orders_2019_02_01_03_10_55.csv,201901
United States,Texas,Huntsville,77340,Central,201901_Orders_2019_02_01_03_10_55.csv,201901
United States,Texas,Laredo,78041,Central,201901_Orders_2019_02_01_03_10_55.csv,201901
United States,Virginia,Springfield,22153,South,201901_Orders_2019_02_01_03_10_55.csv,201901
United States,Delaware,Dover,19901,East,201901_Orders_2019_02_01_03_10_55.csv,201901
United States,Louisiana,Bossier City,71111,South,201901_Orders_2019_02_01_03_10_55.csv,201901
United States,California,San Francisco,94109,West,201901_Orders_2019_02_01_03_10_55.csv,201901
United States,Ohio,Newark,43055,East,201901_Orders_2019_02_01_03_10_55.csv,201901
United States,South Carolina,Mount Pleasant,29464,South,201901_Orders_2019_02_01_03_10_55.csv,201901
United States,Pennsylvania,Philadelphia,19140,East,201901_Orders_2019_02_01_03_10_55.csv,201901
United States,Georgia,Roswell,30076,South,201901_Orders_2019_02_01_03_10_55.csv,201901
United States,Pennsylvania,Philadelphia,19134,East,201901_Orders_2019_02_01_03_10_55.csv,201901
United States,Oregon,Springfield,97477,West,201901_Orders_2019_02_01_03_10_55.csv,201901
United States,Arizona,Scottsdale,85254,West,201901_Orders_2019_02_01_03_10_55.csv,201901
United States,Michigan,Westland,48185,Central,201901_Orders_2019_02_01_03_10_55.csv,201901
United States,Tennessee,Smyrna,37167,South,201901_Orders_2019_02_01_03_10_55.csv,201901
United States,Arkansas,Jonesboro,72401,South,201901_Orders_2019_02_01_03_10_55.csv,201901
United States,Florida,Miami,33180,South,201901_Orders_2019_02_01_03_10_55.csv,201901
United States,Indiana,Lafayette,47905,Central,201901_Orders_2019_02_01_03_10_55.csv,201901
United States,Nevada,Las Vegas,89115,West,201901_Orders_2019_02_01_03_10_55.csv,201901
United States,Virginia,Alexandria,22304,South,201901_Orders_2019_02_01_03_10_55.csv,201901
United States,South Dakota,Rapid City,57701,Central,201901_Orders_2019_02_01_03_10_55.csv,201901
United States,California,San Diego,92037,West,201901_Orders_2019_02_01_03_10_55.csv,201901
United States,New York,New York City,10024,East,201901_Orders_2019_02_01_03_10_55.csv,201901
United States,Michigan,Detroit,48234,Central,201901_Orders_2019_02_01_03_10_55.csv,201901
United States,Texas,Houston,77095,Central,201901_Orders_2019_02_04_15_41_32.csv,201901
United States,Illinois,Naperville,60540,Central,201901_Orders_2019_02_04_15_41_32.csv,201901
United States,Pennsylvania,Philadelphia,19143,East,201901_Orders_2019_02_04_15_41_32.csv,201901
United States,Kentucky,Henderson,42420,South,201901_Orders_2019_02_04_15_41_32.csv,201901
United States,Georgia,Athens,30605,South,201901_Orders_2019_02_04_15_41_32.csv,201901
United States,California,Los Angeles,90049,West,201901_Orders_2019_02_04_15_41_32.csv,201901
United States,Texas,Huntsville,77340,Central,201901_Orders_2019_02_04_15_41_32.csv,201901
United States,Texas,Laredo,78041,Central,201901_Orders_2019_02_04_15_41_32.csv,201901
United States,Virginia,Springfield,22153,South,201901_Orders_2019_02_04_15_41_32.csv,201901
United States,Delaware,Dover,19901,East,201901_Orders_2019_02_04_15_41_32.csv,201901
United States,Louisiana,Bossier City,71111,South,201901_Orders_2019_02_04_15_41_32.csv,201901
United States,California,San Francisco,94109,West,201901_Orders_2019_02_04_15_41_32.csv,201901
United States,Ohio,Newark,43055,East,201901_Orders_2019_02_04_15_41_32.csv,201901
United States,South Carolina,Mount Pleasant,29464,South,201901_Orders_2019_02_04_15_41_32.csv,201901
United States,Pennsylvania,Philadelphia,19140,East,201901_Orders_2019_02_04_15_41_32.csv,201901
United States,Georgia,Roswell,30076,South,201901_Orders_2019_02_04_15_41_32.csv,201901
United States,Pennsylvania,Philadelphia,19134,East,201901_Orders_2019_02_04_15_41_32.csv,201901
United States,Oregon,Springfield,97477,West,201901_Orders_2019_02_04_15_41_32.csv,201901
United States,Arizona,Scottsdale,85254,West,201901_Orders_2019_02_04_15_41_32.csv,201901
United States,Michigan,Westland,48185,Central,201901_Orders_2019_02_04_15_41_32.csv,201901
United States,Tennessee,Smyrna,37167,South,201901_Orders_2019_02_04_15_41_32.csv,201901
United States,Arkansas,Jonesboro,72401,South,201901_Orders_2019_02_04_15_41_32.csv,201901
United States,Florida,Miami,33180,South,201901_Orders_2019_02_04_15_41_32.csv,201901
United States,Indiana,Lafayette,47905,Central,201901_Orders_2019_02_04_15_41_32.csv,201901
United States,Nevada,Las Vegas,89115,West,201901_Orders_2019_02_04_15_41_32.csv,201901
United States,Virginia,Alexandria,22304,South,201901_Orders_2019_02_04_15_41_32.csv,201901
United States,South Dakota,Rapid City,57701,Central,201901_Orders_2019_02_04_15_41_32.csv,201901
United States,California,San Diego,92037,West,201901_Orders_2019_02_04_15_41_32.csv,201901
United States,New York,New York City,10024,East,201901_Orders_2019_02_04_15_41_32.csv,201901
United States,Michigan,Detroit,48234,Central,201901_Orders_2019_02_04_15_41_32.csv,201901
United States,California,Mission Viejo,92691,West,201902_Orders_2019_03_04_02_26_31.csv,201902
United States,Wisconsin,Green Bay,54302,Central,201902_Orders_2019_03_04_02_26_31.csv,201902
United States,Florida,Saint Petersburg,33710,South,201902_Orders_2019_03_04_02_26_31.csv,201902
United States,California,San Diego,92037,West,201902_Orders_2019_03_04_02_26_31.csv,201902
United States,Washington,Seattle,98105,West,201902_Orders_2019_03_04_02_26_31.csv,201902
United States,California,San Diego,92024,West,201902_Orders_2019_03_04_02_26_31.csv,201902
United States,California,Escondido,92025,West,201902_Orders_2019_03_04_02_26_31.csv,201902
United States,Virginia,Chesapeake,23320,South,201902_Orders_2019_03_04_02_26_31.csv,201902
United States,Illinois,Romeoville,60441,Central,201902_Orders_2019_03_04_02_26_31.csv,201902
United States,New Jersey,Linden,7036,East,201902_Orders_2019_03_04_02_26_31.csv,201902
United States,New York,New York City,10024,East,201902_Orders_2019_03_04_02_26_31.csv,201902
United States,Nevada,North Las Vegas,89031,West,201902_Orders_2019_03_04_02_26_31.csv,201902
United States,Missouri,Columbia,65203,Central,201902_Orders_2019_03_04_02_26_31.csv,201902
United States,California,Concord,94521,West,201902_Orders_2019_03_04_02_26_31.csv,201902
United States,Washington,Seattle,98103,West,201902_Orders_2019_03_04_02_26_31.csv,201902
United States,Texas,Houston,77095,Central,201902_Orders_2019_03_04_02_26_31.csv,201902
United States,Texas,Dallas,75220,Central,201902_Orders_2019_03_04_02_26_31.csv,201902
United States,Illinois,Chicago,60653,Central,201902_Orders_2019_03_04_02_26_31.csv,201902
United States,Texas,Arlington,76017,Central,201902_Orders_2019_03_04_02_26_31.csv,201902
United States,Texas,Lubbock,79424,Central,201902_Orders_2019_03_04_02_26_31.csv,201902
United States,Indiana,Richmond,47374,Central,201902_Orders_2019_03_04_02_26_31.csv,201902
United States,California,Los Angeles,90049,West,201902_Orders_2019_03_04_02_26_31.csv,201902
United States,Illinois,Woodstock,60098,Central,201902_Orders_2019_03_04_02_26_31.csv,201902
United States,California,Moreno Valley,92553,West,201902_Orders_2019_03_04_02_26_31.csv,201902
United States,Texas,El Paso,79907,Central,201902_Orders_2019_03_04_02_26_31.csv,201902
United States,Oregon,Medford,97504,West,201902_Orders_2019_03_04_02_26_31.csv,201902
